token,triplet,source_outgoing_count,source_weight,policy_tvd,policy_js_bits,policy_kl_bits,classical_sequence_js_bits,ideal_sequence_js_bits,noisy_sequence_js_bits
53,"(-2, 4, 2)",6,0.0012414649286157666,0.9977623373941772,0.9874272634998882,9.635684401441331,0.9874272634998882,0.9874272634998882,0.9874272634998882
54,"(-2, 4, 5)",3,0.0006207324643078833,0.9977623373941772,0.987427263499888,9.635684401441328,0.987427263499888,0.9987127371074017,0.9989763817903804
55,"(-1, 1, 0)",10,0.002069108214359611,0.9616638447243446,0.9012859757219307,6.820566698253874,0.9012859757219307,0.9986980436090126,0.9987550268630352
56,"(-1, 1, 1)",6,0.0012414649286157666,0.9961121205864134,0.98003485127962,8.414545633545014,0.98003485127962,0.98003485127962,0.98003485127962
57,"(-1, 2, 0)",135,0.027932960893854747,0.15358418335742308,0.0763101178190997,0.22858921848527144,0.2942994305172807,0.05477313116716752,0.9982592453699066
58,"(-1, 3, 0)",9,0.00186219739292365,0.981053892215569,0.9366958520084339,6.446039852188308,0.9366958520084339,0.9366958520084339,0.9366958520084339
59,"(-1, 4, 0)",111,0.022967101179391682,0.1608664051207928,0.08237316423796862,0.24643379077532818,0.36291306797916817,0.2786123341863932,0.8597437062404221
60,"(-1, 8, 1)",3,0.0006207324643078833,0.9983811686970885,0.9905517449486707,10.634671972843138,0.9905517449486707,0.9984806987099553,0.99890563198786
61,"(-1, 12, 1)",2,0.0004138216428719222,0.998587445798059,0.9916788755475684,11.219045196778909,0.9916788755475684,0.9916788755475684,0.9987274062844445
62,"(0, 1, 0)",4,0.0008276432857438444,0.9329913276894489,0.8712043119453163,7.091434132314483,0.9984752303909057,0.8712043119453163,0.9981276939652723
63,"(0, 1, 1)",170,0.03517483964411339,0.15309849266983275,0.0780802550750617,0.2331942702599125,0.12667527878366416,0.1906697223768814,0.9982479634906785
64,"(0, 1, 2)",3,0.0006207324643078833,0.9983811686970887,0.9905517449486712,10.63467197284314,0.9905517449486712,0.9905517449486712,0.9989875714018114
65,"(0, 1, 3)",2,0.0004138216428719222,0.9346415444972125,0.8193304459448809,3.941908779816988,0.8193304459448809,0.8193304459448809,0.9985443462130884
66,"(0, 1, 29)",8,0.0016552865714876887,0.9639328928350197,0.8839473733897917,4.816624336216537,0.8839473733897917,0.9986466838838917,0.9986872854187385
67,"(0, 1, 123)",2,0.0004138216428719222,0.9346415444972125,0.8193304459448809,3.941908779816988,0.8193304459448809,0.9983196263709315,0.9985652800593547
68,"(0, 2, 0)",55,0.01138009517897786,0.15320441874870946,0.07821680169641713,0.2337093874552831,0.21162238721840002,0.34134192403944025,0.7728808212248766
69,"(0, 2, 1)",312,0.06455617628801986,0.1337076827776807,0.06598660068221643,0.19701563269283143,0.2845693116505783,0.45124429336533045,0.852735280399421
70,"(0, 2, 2)",196,0.04055452100144837,0.14810519495842944,0.07411631883406761,0.22144386965830176,0.2696836097416334,0.10249661899026674,0.7203391909798509
71,"(0, 2, 3)",28,0.005793503000206911,0.15857134007846369,0.08109601018988565,0.24248596758381255,0.8246794353041895,0.8246794353041895,0.9982611952236653
72,"(0, 2, 29)",1,0.0002069108214359611,0.9981748915961179,0.9894751952287266,10.220053724110121,0.9894751952287266,0.9894751952287266,0.3109269732513382
73,"(0, 3, 0)",12,0.002482929857231533,0.16976419574643814,0.08716409422473842,0.2610607895814268,0.9634280424401587,0.9634280424401587,0.9989147363817978
74,"(0, 3, 1)",45,0.00931098696461825,0.1546873838529837,0.07902849694110044,0.23620702546995503,0.6041239667580723,0.6695091620412192,0.9983457120225192
75,"(0, 3, 2)",144,0.0297951582867784,0.1555701011769564,0.07943356225019982,0.23735393374419594,0.3675558687663085,0.32225104831018375,0.9064175010323352
76,"(0, 4, 0)",3,0.0006207324643078833,0.9833229403262442,0.9398179225060375,7.15253032433428,0.9398179225060375,0.9398179225060375,0.9988043517653913
77,"(0, 4, 2)",153,0.03165735567970205,0.15878319223621726,0.08115415371922938,0.24259213720613776,0.05692872812328378,0.17766203037207406,0.9979977039218693
78,"(0, 5, 1)",22,0.004552038071591144,0.16640986991534182,0.08532618090677555,0.25541005052102506,0.9098146347407368,0.9098146347407368,0.703316967265255
79,"(0, 8, 0)",1,0.0002069108214359611,0.9987937228990296,0.9928839112505623,12.218040726586343,0.9928839112505623,0.9928839112505623,0.9989325333176862
80,"(0, 9, 5)",3,0.0006207324643078833,0.9639328928350197,0.8839473733897917,4.816624336216537,0.8839473733897917,0.8839473733897917,0.8839473733897917
81,"(0, 12, 0)",1,0.0002069108214359611,0.9983811686970886,0.9905517449486707,10.634671972843137,0.9905517449486707,0.9905517449486707,0.9905517449486707
82,"(0, 12, 1)",12,0.002482929857231533,0.17057629568449303,0.08761109688829025,0.26243779638618314,0.19067612171616938,0.9817969196818994,0.9817969196818994
83,"(0, 20, 5)",2,0.0004138216428719222,0.9944619037786496,0.9733643330942481,7.76315082690994,0.9733643330942481,0.9733643330942481,0.9733643330942481
84,"(0, 24, 0)",6,0.0012414649286157666,0.9952870121825316,0.9768527025306408,8.153857862134801,0.9768527025306408,0.9768527025306408,0.9768527025306408
85,"(0, 24, 1)",3,0.0006207324643078833,0.9952870121825315,0.9772500466657619,8.385351925449521,0.9772500466657619,0.9772500466657619,0.9772500466657619
86,"(0, 32, 0)",2,0.0004138216428719222,0.9977623373941772,0.9874272634998881,9.635684401441326,0.9874272634998881,0.9874272634998881,0.9874272634998881
87,"(1, 1, 0)",1,0.0002069108214359611,0.9725965310757796,0.905880998699546,5.225475868643086,0.905880998699546,0.905880998699546,0.9985058940868059
88,"(1, 1, 1)",14,0.0028967515001034555,0.1617491224447657,0.08280371522289978,0.2476953390112558,0.8690892637196488,0.9984118295944273,0.8690892637196488
89,"(1, 2, 0)",111,0.022967101179391682,0.14736003482317733,0.07495828416866951,0.2241127315501434,0.12864696053392397,0.6257584718807976,0.9981464042655535
90,"(1, 2, 1)",42,0.008690254500310366,0.16503283088994425,0.08456603110367403,0.25306560168842257,0.0,0.0,0.9985333284078903
91,"(1, 2, 2)",54,0.0111731843575419,0.16503283088994425,0.08456603110367403,0.25306560168842257,0.0,0.19043296014321057,0.8844505191637828
92,"(1, 3, 0)",6,0.0012414649286157666,0.9327850505884784,0.8584810563776446,6.503732592824434,0.998410460882312,0.8584810563776446,0.9984502732877751
93,"(1, 4, 0)",75,0.015518311607697082,0.16588023952095807,0.08503410425574148,0.25450963561379464,0.3608519406017513,0.3607796230555941,0.9011547656745966
94,"(1, 6, 9)",4,0.0008276432857438444,0.9969372289902954,0.9836087462558254,8.89947164850393,0.9836087462558254,0.9836087462558254,0.9989788439459835
95,"(1, 21, 0)",1,0.0002069108214359611,0.9965246747883543,0.9817969196819001,8.636708019650952,0.9817969196819001,0.9817969196819001,0.998907130316125
97,"(2, 1, 0)",127,0.02627767432236706,0.16411007851253775,0.08394225499285246,0.2512315622931027,0.12682557232344496,0.1477573927482742,0.9980858948443889
98,"(2, 1, 1)",188,0.03889923442996069,0.1612801553898804,0.07904166649952649,0.23733566783910306,0.09173329193459479,0.09757545503581999,0.9984542905823193
99,"(2, 2, 0)",169,0.03496792882267743,0.14859318701914684,0.07254729886035682,0.21744625437219772,0.17529480668673897,0.1840748319219419,0.9980829060129393
100,"(2, 2, 2)",3,0.0006207324643078833,0.9983811686970885,0.9905517449486709,10.63467197284314,0.9905517449486709,0.9905517449486709,0.9987279019788777
101,"(2, 3, 23)",2,0.0004138216428719222,0.9977623373941773,0.9874272634998882,9.635684401441328,0.9874272634998882,0.9874272634998882,0.9989199047420372
102,"(2, 4, 0)",2,0.0004138216428719222,0.9835292174272146,0.9365791904334375,5.995715741716117,0.9365791904334375,0.9365791904334375,0.9984715896159702
103,"(2, 4, 2)",3,0.0006207324643078833,0.9977623373941772,0.987427263499888,9.635684401441328,0.987427263499888,0.987427263499888,0.987427263499888
104,"(3, 1, 0)",12,0.002482929857231533,0.15175676233739413,0.07763150684023556,0.23216090898891684,0.8156949099257271,0.8156949099257271,0.8835403405186979
105,"(3, 1, 1)",329,0.06807366025243121,0.15251080147638907,0.0777371216841369,0.2323675972406211,0.2299842764140018,0.18213775185020925,0.7028869437389083
106,"(3, 2, 0)",79,0.016345954893440928,0.1650328308899442,0.08457322894263923,0.25309709826653176,0.03229955235680347,0.21440713195499428,0.9987124603983568
107,"(3, 2, 1)",4,0.0008276432857438444,0.9740404707825729,0.9097154237341183,5.306509457894202,0.9097154237341183,0.9097154237341183,0.9988041810064442
108,"(3, 3, 0)",6,0.0012414649286157666,0.9971435060912658,0.9846120915908936,9.136196210546137,0.9846120915908936,0.9846120915908936,0.5946522446201228
109,"(3, 4, 0)",10,0.002069108214359611,0.9740404707825729,0.9097154237341183,5.306509457894202,0.9097154237341183,0.9097154237341183,0.998809775812159
110,"(3, 16, 0)",2,0.0004138216428719222,0.9985874457980592,0.991678875547569,11.219045196778904,0.991678875547569,0.991678875547569,0.9989206733165181
111,"(3, 32, 0)",1,0.0002069108214359611,0.9987937228990296,0.9928839112505621,12.21804072658634,0.9928839112505621,0.9928839112505621,0.998855745306338
